eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2019:Stn49:trawl:sample2159,IYS:GoA2019:Stn49:trawl:sample2159:occ,IYS:GoA2019:Stn49:trawl:sample2159:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2160,IYS:GoA2019:Stn49:trawl:sample2160:occ,IYS:GoA2019:Stn49:trawl:sample2160:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2160,IYS:GoA2019:Stn49:trawl:sample2160:occ,IYS:GoA2019:Stn49:trawl:sample2160:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,68,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2160,IYS:GoA2019:Stn49:trawl:sample2160:occ,IYS:GoA2019:Stn49:trawl:sample2160:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2161,IYS:GoA2019:Stn49:trawl:sample2161:occ,IYS:GoA2019:Stn49:trawl:sample2161:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,5,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2161,IYS:GoA2019:Stn49:trawl:sample2161:occ,IYS:GoA2019:Stn49:trawl:sample2161:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,70,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2161,IYS:GoA2019:Stn49:trawl:sample2161:occ,IYS:GoA2019:Stn49:trawl:sample2161:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
IYS:GoA2019:Stn49:trawl:sample2162,IYS:GoA2019:Stn49:trawl:sample2162:occ,IYS:GoA2019:Stn49:trawl:sample2162:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,4,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn49:trawl:sample2162,IYS:GoA2019:Stn49:trawl:sample2162:occ,IYS:GoA2019:Stn49:trawl:sample2162:occ:min_length,minimum length,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,71,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn49:trawl:sample2162,IYS:GoA2019:Stn49:trawl:sample2162:occ,IYS:GoA2019:Stn49:trawl:sample2162:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,N,http://vocab.nerc.ac.uk/collection/S10/current/S104/,NA,NA
