eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2019:Stn51:trawl:sample2178,IYS:GoA2019:Stn51:trawl:sample2178:occ,IYS:GoA2019:Stn51:trawl:sample2178:occ:species_length,species length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,85,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn51:trawl:sample2178,IYS:GoA2019:Stn51:trawl:sample2178:occ,IYS:GoA2019:Stn51:trawl:sample2178:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,F,http://vocab.nerc.ac.uk/collection/S10/current/S102/,NA,NA
IYS:GoA2019:Stn51:trawl:sample2178,IYS:GoA2019:Stn51:trawl:sample2178:occ,IYS:GoA2019:Stn51:trawl:sample2178:occ:total_weight,total weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,40,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn51:trawl:sample2179,IYS:GoA2019:Stn51:trawl:sample2179:occ,IYS:GoA2019:Stn51:trawl:sample2179:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn51:trawl:sample2179,IYS:GoA2019:Stn51:trawl:sample2179:occ,IYS:GoA2019:Stn51:trawl:sample2179:occ:species_length,species length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,95,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn51:trawl:sample2179,IYS:GoA2019:Stn51:trawl:sample2179:occ,IYS:GoA2019:Stn51:trawl:sample2179:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,M,http://vocab.nerc.ac.uk/collection/S10/current/S103/,NA,NA
IYS:GoA2019:Stn51:trawl:sample2179,IYS:GoA2019:Stn51:trawl:sample2179:occ,IYS:GoA2019:Stn51:trawl:sample2179:occ:total_weight,total weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,35,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn51:trawl:sample2180,IYS:GoA2019:Stn51:trawl:sample2180:occ,IYS:GoA2019:Stn51:trawl:sample2180:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn51:trawl:sample2180,IYS:GoA2019:Stn51:trawl:sample2180:occ,IYS:GoA2019:Stn51:trawl:sample2180:occ:species_length,species length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,90,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn51:trawl:sample2180,IYS:GoA2019:Stn51:trawl:sample2180:occ,IYS:GoA2019:Stn51:trawl:sample2180:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,M,http://vocab.nerc.ac.uk/collection/S10/current/S103/,NA,NA
IYS:GoA2019:Stn51:trawl:sample2180,IYS:GoA2019:Stn51:trawl:sample2180:occ,IYS:GoA2019:Stn51:trawl:sample2180:occ:total_weight,total weight,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,29,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn51:trawl:sample2181,IYS:GoA2019:Stn51:trawl:sample2181:occ,IYS:GoA2019:Stn51:trawl:sample2181:occ:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn51:trawl:sample2181,IYS:GoA2019:Stn51:trawl:sample2181:occ,IYS:GoA2019:Stn51:trawl:sample2181:occ:species_length,species length,http://vocab.nerc.ac.uk/collection/P01/current/OBSINDLX/,93,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/
IYS:GoA2019:Stn51:trawl:sample2181,IYS:GoA2019:Stn51:trawl:sample2181:occ,IYS:GoA2019:Stn51:trawl:sample2181:occ:sex,sex,http://vocab.nerc.ac.uk/collection/P01/current/ENTSEX01/,M,http://vocab.nerc.ac.uk/collection/S10/current/S103/,NA,NA
